dataset,method,rows,success_rows,failure_types
ACM,Herding-HG-TP,1,0,export_schema_failure
DBLP,FreeHGC-score-TP,1,0,export_schema_failure
DBLP,Herding-HG-TP,1,0,export_schema_failure
IMDB,Herding-HG-TP,1,0,export_schema_failure
