dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,d7da038e32feda352ec12474d186b28b644cea985af7aed5fbf73b7dd20d6c43,50e8780a32ee48aca781b40f2ef88e78acb4ef88ebfd03e513271e0be296517e,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,590a5f25392e6208b70cbcfff2cb207fc8322ebb5e860596404df0241344cc21,19ec75b20ec076be0aa8aa5c0da7c63f893bafe90780fbfccde88bb7269be4b1,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,b9ccad4e5167f9b7c533f10519a8f62c759ef8ee56a9eefa68a2e6e438534cfb,4354bee02d2d8103ae9311eb09253a62445ceb5b71c91a397fd73cf4e42bfcbf,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,dcb6648a14303d2e27a56541e25f016ee3c75a73d8421ab4accef4480cb78b27,cae07a095584afa21085a94efc73de08bfee9a93f2e1a1b58f0b6733f31b2963,local:structural_baseline_impl,
DBLP,Proportional-relation-budget,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Proportional-relation-budget local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,f1a06b70d0f9eb6da5d3de1b3955a371c81e5b08189aec64226bab02f2a095b3,feb404d68404a7c3a58be51db502a0bb751bb1a835f7f9f199447ba377787733,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,04ef38977a817091a9488adc1cdb2cea2ed0b7158da81d3b5567617b7b3aecb0,cff88ae053555e7b0ce6640440500d1b0e1a83930642a10bcb6ba0cf2c0be06e,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,410bf8873bfa3efcc633a73fa8fc9d7e56ac7f0420869ed60f9a61a4440c98da,1891e88774be0e119c1041645d4006f535858557baffb81535e1a5d1e514282d,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,9618167c7eacff9ee5bbd5a974afb1784d901adb2f131e9c616b7f833c01a4f8,c3614447e48076f7f582a629c76f45a957915a066fba191f335740e3f61a21e3,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,be051eee4378dc7ac48c7e5552ea61cb357c48892b412e948ad326656686a68c,d3fff3d7d83f0a014ac36aa968511339e898e687a0a35154d54a9fc0dff511e4,local:structural_baseline_impl,
ACM,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,329a854bd3692511aa26cdd3f393ec17add6a8f7871dcf136f9a69e053451646,be9eafc5ee8d1f5a6241f25ab8a4e51b99eb85f9f1c50fb7c6a086b2f8196b13,local:structural_baseline_impl,
