baseline_name,protocol,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,used_test_data,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligibility_failure_reasons,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,binary_feature_sidecar_ratio,adapter_package_ratio,preprocessed_cache_byte_ratio,train_time_seconds,preprocess_time_seconds,compress_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,dataset,budget_type,budget_value,graph_seed,training_seed,success,failure_type,failure_message,construction_status,selection_signal,official_hgb_exported,export_hash,artifact_manifest_path,raw_hgb_text_byte_ratio_estimated,training_executed,training_status,compress_peak_cpu_memory_mb,export_time_seconds,test_micro_f1,test_macro_f1,recovery_micro,recovery_macro,runs,success_count
Herding-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.1,0.024760441798919713,0.045901525815411716,0.045901525815411716,0.045901525815411716,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,True,,,constructed_estimate,per-type centroid herding with degree/profile fallback,False,ed12710051208a88fa9ca1c1ec5d5ad4210204159b684776a40dbac47f533b24,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Herding-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.2,0.06624078542030172,0.09160929490315928,0.09160929490315928,0.09160929490315928,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,True,,,constructed_estimate,per-type centroid herding with degree/profile fallback,False,4ff495f54df363aba2d18690144e6afc295a5409bebb6121ceef4018ea87e199,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Herding-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,1,1,True,,,constructed_estimate,per-type centroid herding with degree/profile fallback,False,203dd2605aff10b480103375e343b3879ef2cff0651704aaa36bf4040be3e022,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Herding-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.5,0.29100122721922145,0.31919049733904414,0.31919049733904414,0.31919049733904414,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,True,,,constructed_estimate,per-type centroid herding with degree/profile fallback,False,c72ae5dc7676379729c19ef984b228ae60bb02f96ce5ab91ffb1d2894cb0bf3e,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
KCenter-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.1,0.024760441798919713,0.045901525815411716,0.045901525815411716,0.045901525815411716,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,True,,,constructed_estimate,per-type approximate farthest-first profile selection,False,8732229f93b46e0642f1a6b88622c027ebf7126fe00440276398f61abacb034b,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
KCenter-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.2,0.06624078542030172,0.09160929490315928,0.09160929490315928,0.09160929490315928,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,True,,,constructed_estimate,per-type approximate farthest-first profile selection,False,d5322d54dcd95269a8108db41dca590eb93d2c7bf36a31c07778121c299abc2c,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
KCenter-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,1,1,True,,,constructed_estimate,per-type approximate farthest-first profile selection,False,f1760ed806480f865113db030b336e886d1ab047e59928c9856cade3856312aa,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
KCenter-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.5,0.29100122721922145,0.31919049733904414,0.31919049733904414,0.31919049733904414,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,True,,,constructed_estimate,per-type approximate farthest-first profile selection,False,dd5b92ec84baabb38787db34a498d817d3d99b498cce4413ad226c3ef6b14e37,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.1,0.024760441798919713,0.045901525815411716,0.045901525815411716,0.045901525815411716,,,,,,,,,DBLP,support_node_ratio,0.1,1,1,True,,,constructed_estimate,per-type seeded random support selection,False,1a21633e6fd2cd5545d97572f948365d9589c2f0dbfd73e3ee2008ee93b4c218,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.2,0.06624078542030172,0.09160929490315928,0.09160929490315928,0.09160929490315928,,,,,,,,,DBLP,support_node_ratio,0.2,1,1,True,,,constructed_estimate,per-type seeded random support selection,False,4bb3c30ab0972d46595f9165c36ac48c9078bf722a296fd9bcf9a466b54dbce9,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,1,1,True,,,constructed_estimate,per-type seeded random support selection,False,959ae493c6cd8afb7239bc40e13a3c936eeabad6c6e394bcd1405bcaaa5d498e,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.5,0.29100122721922145,0.31919049733904414,0.31919049733904414,0.31919049733904414,,,,,,,,,DBLP,support_node_ratio,0.5,1,1,True,,,constructed_estimate,per-type seeded random support selection,False,3e768089f9892c9815715001bd75a94f9aa8565848967f28d2d783d8a29ca0a9,,True,False,not_executed_gate21_6_budget,,,,,,,25,25
