dataset,method,requested_budget_type,requested_budget,actual_structural_storage_ratio,budget_match_for_structural_compare,failure_type
DBLP,Herding-HG-TP,support_node_ratio,0.5,0.511910701649485,True,
DBLP,FreeHGC-score-TP,structural_storage_ratio,0.2,0.48523595039340783,False,budget_infeasible
ACM,Herding-HG-TP,support_node_ratio,0.5,1.0,False,budget_infeasible
IMDB,Herding-HG-TP,support_node_ratio,0.5,1.0,False,budget_infeasible
