baseline_name,protocol,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,used_test_data,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligibility_failure_reasons,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,binary_feature_sidecar_ratio,adapter_package_ratio,preprocessed_cache_byte_ratio,train_time_seconds,preprocess_time_seconds,compress_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,dataset,budget_type,budget_value,graph_seed,training_seed,success,failure_type,failure_message,construction_status,selection_signal,official_hgb_exported,export_hash,artifact_manifest_path,raw_hgb_text_byte_ratio_estimated,training_executed,training_status,compress_peak_cpu_memory_mb,export_time_seconds,test_micro_f1,test_macro_f1,recovery_micro,recovery_macro
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,2,2,True,,,constructed_estimate,per-type seeded random support selection,False,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,2,3,True,,,constructed_estimate,per-type seeded random support selection,False,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,2,4,True,,,constructed_estimate,per-type seeded random support selection,False,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,2,5,True,,,constructed_estimate,per-type seeded random support selection,False,64045400750a5e06f565aa665c62a4ec70bcdaf91346dbefbf5d2663b854084f,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,3,1,True,,,constructed_estimate,per-type seeded random support selection,False,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,3,2,True,,,constructed_estimate,per-type seeded random support selection,False,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,3,3,True,,,constructed_estimate,per-type seeded random support selection,False,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,3,4,True,,,constructed_estimate,per-type seeded random support selection,False,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,3,5,True,,,constructed_estimate,per-type seeded random support selection,False,24c35945ea1fe1a703d025c43f866538f9f217a9ba5113a7abd80f6df3822e40,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,4,1,True,,,constructed_estimate,per-type seeded random support selection,False,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,4,2,True,,,constructed_estimate,per-type seeded random support selection,False,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,4,3,True,,,constructed_estimate,per-type seeded random support selection,False,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,4,4,True,,,constructed_estimate,per-type seeded random support selection,False,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,4,5,True,,,constructed_estimate,per-type seeded random support selection,False,c2acdaf4a6b87468f646f90d9c1299e971a9c7500d23089ae470379a986dc544,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,5,1,True,,,constructed_estimate,per-type seeded random support selection,False,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,5,2,True,,,constructed_estimate,per-type seeded random support selection,False,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,,True,False,not_executed_gate21_6_budget,,,,,,
Random-HG-TP,schema_preserving_tp_workload,external_tp_baseline,True,False,False,False,False,True,False,False,False,False,True,official_sehgnn_unmodified_false,0.3,0.124441030864146,0.15239275256498075,0.15239275256498075,0.15239275256498075,,,,,,,,,DBLP,support_node_ratio,0.3,5,3,True,,,constructed_estimate,per-type seeded random support selection,False,a799a57d4e0a442033f2d9d71577d706867aae7e6360fbfc9d8d3597cf58f5ae,,True,False,not_executed_gate21_6_budget,,,,,,
