dataset,method,canonical_method,graph_seed,training_seed,export_hash,success,status,failure_type,failure_message,structural_storage_ratio,raw_hgb_text_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,1,2,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,True,success,,,0.29282181757962167,0.5356045112159086,0.28018166183849125,0.9492959999999999,0.945642,0.950617,0.945848
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,1,3,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,True,success,,,0.29282181757962167,0.5356045112159086,0.28018166183849125,0.947535,0.9432590000000001,0.938272,0.9331539999999999
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,1,4,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,True,success,,,0.29282181757962167,0.5356045112159086,0.28018166183849125,0.9503520000000001,0.9466450000000001,0.938272,0.9369289999999999
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,1,5,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,True,success,,,0.29282181757962167,0.5356045112159086,0.28018166183849125,0.9492959999999999,0.945624,0.942387,0.936941
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,1,1,2b6f13a16a5f71c8d7facda2b7e685f125832d457efbcda7771b81276a7c61ae,True,success,,,0.15239711848969115,0.5310533334508994,0.12444169873855221,0.946127,0.941913,0.925926,0.922593
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,1,2,2b6f13a16a5f71c8d7facda2b7e685f125832d457efbcda7771b81276a7c61ae,True,success,,,0.15239711848969115,0.5310533334508994,0.12444169873855221,0.951408,0.947885,0.9547329999999999,0.9515210000000001
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,1,3,2b6f13a16a5f71c8d7facda2b7e685f125832d457efbcda7771b81276a7c61ae,True,success,,,0.15239711848969115,0.5310533334508994,0.12444169873855221,0.948592,0.9448799999999999,0.950617,0.9459390000000001
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,1,4,2b6f13a16a5f71c8d7facda2b7e685f125832d457efbcda7771b81276a7c61ae,True,success,,,0.15239711848969115,0.5310533334508994,0.12444169873855221,0.944366,0.93998,0.938272,0.937093
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,1,5,2b6f13a16a5f71c8d7facda2b7e685f125832d457efbcda7771b81276a7c61ae,True,success,,,0.15239711848969115,0.5310533334508994,0.12444169873855221,0.9510559999999999,0.947671,0.950617,0.946018
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,1,1,95796bf6a36fd3416b48d242ccc8be4b419a5b5a9678f36574134cb3b73bd881,True,success,,,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.944366,0.940067,0.925926,0.923612
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,1,2,95796bf6a36fd3416b48d242ccc8be4b419a5b5a9678f36574134cb3b73bd881,True,success,,,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.947887,0.943808,0.946502,0.942376
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,1,3,95796bf6a36fd3416b48d242ccc8be4b419a5b5a9678f36574134cb3b73bd881,True,success,,,0.12628437224777375,0.5302519525586996,0.09548099479892806,0.947183,0.942654,0.942387,0.937987
