dataset,base_method,adapter_method,training_seed,success,failure_type,failure_reason,test_micro_f1,test_macro_f1,training_executed,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,static_inference_package_bytes,transform_recipe_package_bytes,reconstructable_package_bytes,sidecar_feature_bytes,link_dat_bytes,label_split_bytes,schema_bytes,mapping_bytes,projection_seed_bytes,projection_matrix_bytes,pca_basis_bytes,pca_mean_bytes,quantization_metadata_bytes,reproducible_transform_package_complete,eligible_for_adapter_table,eligible_for_official_main_table
DBLP,HeSF-RCS-APV16,random_projection_dim128,2,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,random_projection_dim128,3,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,random_projection_dim128,4,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,random_projection_dim128,5,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,int8_per_feature,1,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,int8_per_feature,2,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,int8_per_feature,3,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,int8_per_feature,4,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,int8_per_feature,5,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,fp16_node_features,1,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,fp16_node_features,2,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,fp16_node_features,3,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,fp16_node_features,4,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,fp16_node_features,5,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,pca_svd_dim64,1,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
DBLP,HeSF-RCS-APV16,pca_svd_dim64,2,False,adapter_task_metric_missing,No real Gate21.14 adapter task metric is available for this base/adapter/seed.,NaN,NaN,False,,,,,,,,,,,,,,,,,False,False,False
