dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,graph_seed,training_seed,export_hash,run_id,success,status,failed_reason,traceback_path,model_name,schema_compatible,uses_weighted_superedges,official_sehgnn_unmodified,eligible_for_main_decision,cache_hygiene_pass,no_test_label_export_leakage,no_test_label_scoring_leakage,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,validation_micro_f1,validation_macro_f1,test_micro_f1,test_macro_f1,test_accuracy_if_single_label,native_full_test_micro_f1,native_full_test_macro_f1,export_full_test_micro_f1,export_full_test_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,mapping_bijective,split_disjoint,relation_order_matches_official,node_type_order_matches_official,schema_complete,stdout_path,stderr_path,deterministic_graph_method,graph_seed_independence_required,graph_seed_independence_status,official_text_hgb_byte_ratio
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,1,1,37468c0cdf4524f334330d7a249055ccd9d323b5c7c3e7391bcacafd3e5664d0,8282b826a8512676,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.1772828893388635,0.5318818408942705,,,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.921811,0.91872,0.944366,0.940067,0.944366,0.953873,0.949979,0.953873,0.949979,0.9900332643863492,0.98956608514504,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stderr.log,True,False,not_applicable_deterministic,0.5318818408942705
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,1,2,37468c0cdf4524f334330d7a249055ccd9d323b5c7c3e7391bcacafd3e5664d0,8dfbc22e8027d027,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.1772828893388635,0.5318818408942705,,,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.950617,0.945848,0.9482389999999999,0.944387,0.9482389999999999,0.954577,0.951351,0.954577,0.951351,0.9933604098988347,0.9926798836601843,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stderr.log,True,False,not_applicable_deterministic,0.5318818408942705
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,1,3,37468c0cdf4524f334330d7a249055ccd9d323b5c7c3e7391bcacafd3e5664d0,9c3c3e0a8aabd61d,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.1772828893388635,0.5318818408942705,,,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.942387,0.9372020000000001,0.946831,0.942547,0.946831,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.9948201281624273,0.9938400803889544,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stderr.log,True,False,not_applicable_deterministic,0.5318818408942705
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,1,4,37468c0cdf4524f334330d7a249055ccd9d323b5c7c3e7391bcacafd3e5664d0,015d5aa081d76673,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.1772828893388635,0.5318818408942705,,,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.946502,0.945751,0.9355629999999999,0.9306740000000001,0.9355629999999999,0.952817,0.94896,0.952817,0.94896,0.9818915909350903,0.9807304838981623,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stderr.log,True,False,not_applicable_deterministic,0.5318818408942705
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,1,5,37468c0cdf4524f334330d7a249055ccd9d323b5c7c3e7391bcacafd3e5664d0,771c43ef27831562,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.1772828893388635,0.5318818408942705,,,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.942387,0.9379730000000001,0.947887,0.9442470000000001,0.947887,0.953873,0.95042,0.953873,0.95042,0.9937245314627839,0.9935049767471223,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP10\stderr.log,True,False,not_applicable_deterministic,0.5318818408942705
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,1,1,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,f54d9e0cab372729,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.29282181757962167,0.5356045112159086,,,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.9176949999999999,0.91542,0.9436620000000001,0.939289,0.9436620000000001,0.953873,0.949979,0.953873,0.949979,0.9892952206425805,0.9887471196731717,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_1\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stderr.log,True,False,not_applicable_deterministic,0.5356045112159086
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,1,2,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,a356830ce44475dd,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.29282181757962167,0.5356045112159086,,,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.950617,0.945848,0.9492959999999999,0.945642,0.9492959999999999,0.954577,0.951351,0.954577,0.951351,0.9944677066386471,0.9939990602837439,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_2\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stderr.log,True,False,not_applicable_deterministic,0.5356045112159086
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,1,3,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,4954acef9e84aa1b,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.29282181757962167,0.5356045112159086,,,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.938272,0.9331539999999999,0.947535,0.9432590000000001,0.947535,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.9955598096580969,0.9945908271816735,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_3\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stderr.log,True,False,not_applicable_deterministic,0.5356045112159086
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,1,4,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,2407598566db2fa1,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.29282181757962167,0.5356045112159086,,,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.938272,0.9369289999999999,0.9503520000000001,0.9466450000000001,0.9503520000000001,0.952817,0.94896,0.952817,0.94896,0.9974129344879448,0.9975604872702749,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_4\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stderr.log,True,False,not_applicable_deterministic,0.5356045112159086
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,1,5,91bfebb1ef0d6df6c678c1e27cc706b74e0f6e632b6981e357aa4fe3d555c770,2cbb1a788f65e1d0,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.29282181757962167,0.5356045112159086,,,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.942387,0.936941,0.9492959999999999,0.945624,0.9492959999999999,0.953873,0.95042,0.953873,0.95042,0.995201667307912,0.9949538098945729,True,True,True,True,True,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stdout.log,results\gate21_5_directed_apv_feature_adapter\diagnostics\gate21_4_directed_internal_deterministic\runs\DBLP\graph_seed_1\training_seed_5\H6-dirskel-AP100-PA00-PV100-VP00-PTTP30\stderr.log,True,False,not_applicable_deterministic,0.5356045112159086
