baseline_name,protocol,method_family,schema_compatible,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,keeps_all_target_nodes,used_test_data,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligibility_failure_reasons,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,binary_feature_sidecar_ratio,adapter_package_ratio,preprocessed_cache_byte_ratio,train_time_seconds,preprocess_time_seconds,compress_time_seconds,peak_cpu_memory_mb,peak_gpu_memory_mb,dataset,method,success,failure_type,failure_message
FreeHGC,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,FreeHGC,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
HGCond,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,HGCond,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
GCond-HG,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,GCond-HG,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
Random-HG,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,Random-HG,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
Herding-HG,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,Herding-HG,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
KCenter-HG,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,KCenter-HG,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
Coarsening-HG,standard_condensation,standard_condensation_baseline,False,False,False,False,False,False,False,False,False,True,False,official_sehgnn_unmodified_false;schema_incompatible;drops_target_nodes,,,,,,,,,,,,,,DBLP,Coarsening-HG,False,missing_external_dependency_or_not_configured,Standard condensation baseline hook is separated from the schema-preserving official table.
