dataset,method,relation_pair_name,forward_relation_name,reverse_relation_name,forward_retention,reverse_retention,forward_edge_count,reverse_edge_count,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,relation_mapping_audit_pass
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.947183,0.9429420000000001,0.938272,0.9331539999999999,0.3063599479100017,0.5360673442653411,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.7922539999999999,0.788034,0.802469,0.7973600000000001,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.7922539999999999,0.788034,0.802469,0.7973600000000001,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.7922539999999999,0.788034,0.802469,0.7973600000000001,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.7880280000000001,0.782381,0.786008,0.783449,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.7880280000000001,0.782381,0.786008,0.783449,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.7880280000000001,0.782381,0.786008,0.783449,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.792958,0.7868550000000001,0.7901229999999999,0.772899,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PT_TP,PT,TP,0.3,0.3,23024,23024,0.792958,0.7868550000000001,0.7901229999999999,0.772899,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,PV_VP,PV,VP,1.0,1.0,3598,3598,0.792958,0.7868550000000001,0.7901229999999999,0.772899,0.3063599479100017,0.5360671851875486,True
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,AP_PA,AP,PA,0.0,1.0,1,17474,0.789789,0.7855580000000001,0.7983540000000001,0.79293,0.3063599479100017,0.5360671473118838,True
