dataset,method,graph_seed,training_seed,relation_channel_spec,AP_retention,PA_retention,PT_retention,TP_retention,PV_retention,VP_retention,AP_edge_count,PA_edge_count,PT_edge_count,TP_edge_count,PV_edge_count,VP_edge_count,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,3,1,AP00-PA100-PTTP30-PVVP100,0.0,1.0,0.3,0.3,1.0,1.0,1,17474,23024,23024,3598,3598,0.3063599479100017,0.536067336690208,0.29519631333327767,0.7880280000000001,0.783797,0.802469,0.796612,0.8261351353901412,0.8250677120231078
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,3,2,AP00-PA100-PTTP30-PVVP100,0.0,1.0,0.3,0.3,1.0,1.0,1,17474,23024,23024,3598,3598,0.3063599479100017,0.536067336690208,0.29519631333327767,0.788732,0.783155,0.794239,0.792277,0.8262633606298916,0.8232030028874727
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,3,3,AP00-PA100-PTTP30-PVVP100,0.0,1.0,0.3,0.3,1.0,1.0,1,17474,23024,23024,3598,3598,0.3063599479100017,0.536067336690208,0.29519631333327767,0.794718,0.78878,0.786008,0.768913,0.8349974415845994,0.8317051336529632
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,1,1,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371001303195576,0.3316622559127756,0.952465,0.948598,0.9300409999999999,0.926724,0.9985239125124624,0.9985462836546913
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,1,2,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371001303195576,0.3316622559127756,0.952465,0.949433,0.962963,0.960235,0.9977875016892299,0.9979839197099704
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,1,3,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371001303195576,0.3316622559127756,0.9482389999999999,0.944678,0.938272,0.933587,0.9962994911537664,0.996087048668848
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,2,1,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371005924026688,0.3316622559127756,0.9464790000000001,0.9423569999999999,0.942387,0.939243,0.9922484439752463,0.9919766647473258
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,2,2,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371005924026688,0.3316622559127756,0.9492959999999999,0.946109,0.958848,0.956045,0.9944677066386471,0.9944899411468533
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,2,3,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371005924026688,0.3316622559127756,0.9482389999999999,0.944808,0.938272,0.933587,0.9962994911537664,0.9962241232236984
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,3,1,AP100-PA50-PTTP30-PVVP100,1.0,0.5,0.3,0.3,1.0,1.0,17474,8737,23024,23024,3598,3598,0.3392398774530099,0.5371006075529348,0.3316622559127756,0.947183,0.942974,0.9300409999999999,0.927903,0.992986487719015,0.9926261527886405
