dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,runs,success_count,failed_count,graph_seed_count,training_seed_count,mean_semantic_structural_storage_ratio,std_semantic_structural_storage_ratio,mean_hgb_raw_file_byte_ratio,std_hgb_raw_file_byte_ratio,mean_preprocessed_cache_byte_ratio,mean_effective_total_byte_ratio,mean_support_node_ratio,mean_support_edge_ratio,mean_total_node_ratio,mean_total_edge_ratio,mean_test_micro_f1,std_test_micro_f1,mean_test_macro_f1,std_test_macro_f1,mean_validation_micro_f1,mean_validation_macro_f1,mean_recovery_vs_native_full_micro,mean_recovery_vs_native_full_macro,mean_val_test_micro_gap,schema_complete_all,relation_mapping_audit_pass_all,relation_retention_audit_pass_all,cache_hygiene_pass_all,no_test_label_export_leakage_all,no_test_label_scoring_leakage_all,official_sehgnn_unmodified_all,eligible_for_main_decision
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,9,9,0,3,3,0.3063599479100017,0.0,0.5360672230632135,8.182078755864067e-08,,0.5360672230632135,0.3000317158261972,0.2951963133332777,0.4087186160440907,0.2951963133332777,0.7906103333333332,0.0024676958213415653,0.7853012222222222,0.002340404322988171,0.7942385555555557,0.78597,0.829254547039612,0.826718387993211,0.008187111111111145,True,True,True,True,True,True,True,True
DBLP,H6-dir-AP100-PA00-PTTP30-PVVP100,H6-dir-AP100-PA00-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA00-PTTP30-PVVP100,9,9,0,3,3,0.3063599479100017,0.0,0.5360672281133021,8.30582232410659e-08,,0.5360672281133021,0.3000317158261972,0.2951963133332777,0.4087186160440907,0.2951963133332777,0.9466745555555557,0.002165021842902924,0.942591,0.0023703388412254804,0.9364426666666668,0.9322962222222222,0.9929434780043115,0.9922994348425629,0.011347222222222262,True,True,True,True,True,True,True,True
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,H6-dir-AP100-PA50-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA50-PTTP30-PVVP100,9,9,0,3,3,0.3392398774530099,0.0,0.5371004434250537,2.2148539668370883e-07,,0.5371004434250537,0.3000317158261972,0.3316622559127756,0.4087186160440907,0.3316622559127756,0.9490609999999999,0.001985055442830529,0.9454726666666667,0.0022014740516299743,0.9446732222222223,0.9412384444444446,0.9954457203240096,0.995332880620288,0.011958666666666697,True,True,True,True,True,True,True,True
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,H6-dir-AP50-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP50-PA100-PTTP30-PVVP100,9,9,0,3,3,0.3392398774530099,0.0,0.5371007439053282,3.27458433610723e-07,,0.5371007439053282,0.3000317158261972,0.3316622559127756,0.4087186160440907,0.3316622559127756,0.8721051111111111,0.0035475307983768097,0.8669323333333332,0.0033542430840156055,0.8655692222222222,0.8589686666666666,0.9147314482042531,0.9126537801878979,0.01100788888888888,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,H6-dir-APPA100-PT00-TP100-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PT00-TP100-PVVP100,9,9,0,3,3,0.4876737901495706,0.0,0.5418570335458098,0.0,,0.5418570335458098,0.3000317158261972,0.49628494861541295,0.4087186160440907,0.49628494861541295,0.9495306666666666,0.0008780422667630087,0.9459546666666666,0.0007103803363144262,0.9465020000000001,0.943407,0.9959386146732138,0.9958411019300767,0.012140000000000076,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,H6-dir-APPA100-PT100-TP00-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PT100-TP00-PVVP100,9,9,0,3,3,0.4876737901495706,0.0,0.5418570259706766,0.0,,0.5418570259706766,0.3000317158261972,0.49628494861541295,0.4087186160440907,0.49628494861541295,0.9479655555555555,0.001020327628331088,0.9442297777777777,0.0014051675880895286,0.947874,0.9446906666666668,0.9942971808808105,0.9940247901247865,0.009202888888888934,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PT20-TP50-PVVP100,H6-dir-APPA100-PT20-TP50-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PT20-TP50-PVVP100,9,9,0,3,3,0.40101394837670407,0.0,0.5390648647829168,6.437625138352735e-08,,0.5390648647829168,0.3000317158261972,0.4001736473456167,0.4087186160440907,0.4001736473456167,0.9489435555555557,0.0008133422282452421,0.9452538888888891,0.0010616796382718532,0.9478738888888889,0.944683,0.9953227785976195,0.9951029028288784,0.009789888888888888,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PT50-TP20-PVVP100,H6-dir-APPA100-PT50-TP20-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PT50-TP20-PVVP100,9,9,0,3,3,0.40101394837670407,0.0,0.53906487235805,1.0665136814104314e-07,,0.53906487235805,0.3000317158261972,0.4001736473456167,0.4087186160440907,0.4001736473456167,0.948787111111111,0.0009109807223773546,0.9451068888888889,0.0010350832971789212,0.9487884444444445,0.9455311111111112,0.9951583741657531,0.9949479312110836,0.008875333333333358,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PTTP30-PV00-VP100,H6-dir-APPA100-PTTP30-PV00-VP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PTTP30-PV00-VP100,9,9,0,3,3,0.35858544039383655,0.0,0.5376707953868409,8.182078755864067e-08,,0.5376707953868409,0.3000317158261972,0.35311772121252594,0.4087186160440907,0.35311772121252594,0.9269953333333335,0.00549507894999395,0.9217845555555555,0.005763622300662249,0.9387288888888887,0.9350967777777777,0.972298464369488,0.9703924101249459,0.011733555555555553,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PTTP30-PV100-VP00,H6-dir-APPA100-PTTP30-PV100-VP00,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PTTP30-PV100-VP00,9,9,0,3,3,0.35858544039383655,0.0,0.5376707953868409,8.182078755864067e-08,,0.5376707953868409,0.3000317158261972,0.35311772121252594,0.4087186160440907,0.35311772121252594,0.9480438888888888,0.0035835087226672156,0.9440881111111109,0.003802031049158513,0.947874,0.9445533333333334,0.9943780904214581,0.9938740445757145,0.007692333333333363,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PTTP30-PV100-VP50,H6-dir-APPA100-PTTP30-PV100-VP50,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PTTP30-PV100-VP50,9,9,0,3,3,0.3653526236949273,0.0,0.5379023596266502,8.182078755864067e-08,,0.5379023596266502,0.3000317158261972,0.3606229598523998,0.4087186160440907,0.3606229598523998,0.9480437777777778,0.0028320899929901435,0.9443625555555557,0.0030887169616420967,0.9483312222222222,0.945176,0.9943790950234216,0.9941643704326191,0.008589222222222248,True,True,True,True,True,True,True,True
DBLP,H6-dir-APPA100-PTTP30-PV50-VP100,H6-dir-APPA100-PTTP30-PV50-VP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,APPA100-PTTP30-PV50-VP100,9,9,0,3,3,0.3653526236949273,0.0,0.5379023596266502,8.182078755864067e-08,,0.5379023596266502,0.3000317158261972,0.3606229598523998,0.4087186160440907,0.3606229598523998,0.9312206666666667,0.004833555535122245,0.926317,0.005160910384806127,0.9410149999999999,0.9372443333333335,0.9767292198611452,0.9751630292820792,0.013084777777777772,True,True,True,True,True,True,True,True
