dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,graph_seed,training_seed,export_hash,run_id,success,status,failed_reason,traceback_path,model_name,schema_compatible,uses_weighted_superedges,official_sehgnn_unmodified,eligible_for_main_decision,cache_hygiene_pass,no_test_label_export_leakage,no_test_label_scoring_leakage,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,effective_total_byte_ratio,preprocessed_cache_byte_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,validation_micro_f1,validation_macro_f1,test_micro_f1,test_macro_f1,test_accuracy_if_single_label,native_full_test_micro_f1,native_full_test_macro_f1,export_full_test_micro_f1,export_full_test_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,mapping_bijective,split_disjoint,relation_order_matches_official,node_type_order_matches_official,schema_complete,stdout_path,stderr_path
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,1,2,95411c563f82fce0ec9dc89bfead87f1a50971a33c757f8afb801edcb939cda1,7684e81e6ad3148b,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.786008,0.783449,0.7880280000000001,0.782381,0.7880280000000001,0.954577,0.951351,0.954577,0.951351,0.8255258611929682,0.8223894230415483,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,1,3,95411c563f82fce0ec9dc89bfead87f1a50971a33c757f8afb801edcb939cda1,437d77c105e155a7,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671851875486,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.7901229999999999,0.772899,0.792958,0.7868550000000001,0.792958,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.8331482378454255,0.8296753758215248,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,2,1,1fab929986291f829b7537b86f3d58e683a03cb56888096f9d8871aac7e0542f,8fcca85e815b069e,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671473118838,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.7983540000000001,0.79293,0.789789,0.7855580000000001,0.789789,0.953873,0.949979,0.953873,0.949979,0.8279812931071536,0.8269214372107173,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,2,2,1fab929986291f829b7537b86f3d58e683a03cb56888096f9d8871aac7e0542f,a5661c2e9e6cdf51,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671473118838,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.802469,0.800377,0.7880280000000001,0.7822520000000001,0.7880280000000001,0.954577,0.951351,0.954577,0.951351,0.8255258611929682,0.822253826400561,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,2,3,1fab929986291f829b7537b86f3d58e683a03cb56888096f9d8871aac7e0542f,fac52efd0e2ad8ea,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.5360671473118838,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.786008,0.768913,0.792958,0.7868989999999999,0.792958,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.8331482378454255,0.8297217702862433,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_2\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,3,1,e2b6edbdf6eaecde5834a9b44413b2bc8342ed4fef9dd0b42fcd0c421ff3ed07,066a07273fb9469e,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.536067336690208,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.802469,0.796612,0.7880280000000001,0.783797,0.7880280000000001,0.953873,0.949979,0.953873,0.949979,0.8261351353901412,0.8250677120231078,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_1\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,3,2,e2b6edbdf6eaecde5834a9b44413b2bc8342ed4fef9dd0b42fcd0c421ff3ed07,f70ae37c66f5bf15,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.536067336690208,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.794239,0.792277,0.788732,0.783155,0.788732,0.954577,0.951351,0.954577,0.951351,0.8262633606298916,0.8232030028874727,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_2\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP00-PA100-PTTP30-PVVP100,H6-dir-AP00-PA100-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP00-PA100-PTTP30-PVVP100,3,3,e2b6edbdf6eaecde5834a9b44413b2bc8342ed4fef9dd0b42fcd0c421ff3ed07,ff750e18fca0f518,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3063599479100017,0.536067336690208,,,0.30003171582619725,0.29519631333327767,0.40871861604409065,0.29519631333327767,0.786008,0.768913,0.794718,0.78878,0.794718,0.9517610000000001,0.9483889999999999,0.9517610000000001,0.9483889999999999,0.8349974415845994,0.8317051336529632,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_3\training_seed_3\H6-dir-AP00-PA100-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,H6-dir-AP100-PA50-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA50-PTTP30-PVVP100,1,1,db44b1aa553c1d9a020e2a2c790c89745811599e31ef36bf9ab05280b475d83a,c2668bb4cf33c62a,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3392398774530099,0.5371001303195576,,,0.30003171582619725,0.3316622559127756,0.40871861604409065,0.3316622559127756,0.9300409999999999,0.926724,0.952465,0.948598,0.952465,0.953873,0.949979,0.953873,0.949979,0.9985239125124624,0.9985462836546913,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP100-PA50-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_1\H6-dir-AP100-PA50-PTTP30-PVVP100\stderr.log
DBLP,H6-dir-AP100-PA50-PTTP30-PVVP100,H6-dir-AP100-PA50-PTTP30-PVVP100,schema_compatible_subgraph,relation_channel_directionality,random_edge_within_relation,AP100-PA50-PTTP30-PVVP100,1,2,db44b1aa553c1d9a020e2a2c790c89745811599e31ef36bf9ab05280b475d83a,7f840da18bcb2533,True,success,,,official-SeHGNN,True,False,True,True,True,True,True,0.3392398774530099,0.5371001303195576,,,0.30003171582619725,0.3316622559127756,0.40871861604409065,0.3316622559127756,0.962963,0.960235,0.952465,0.949433,0.952465,0.954577,0.951351,0.954577,0.951351,0.9977875016892299,0.9979839197099704,True,True,True,True,True,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP100-PA50-PTTP30-PVVP100\stdout.log,results\gate21_4_directionality_ablation\runs\DBLP\graph_seed_1\training_seed_2\H6-dir-AP100-PA50-PTTP30-PVVP100\stderr.log
