dataset,method,graph_seed,training_seed,official_hgb_exported,official_sehgnn_unmodified,attempted_official_sehgnn_run,training_executed,success,failure_type,failure_reason,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro,selector_input_semantics,uses_test_metrics_for_selection,selection_config_hash,source_gate,method_family,protocol_family,schema_compatible,target_preserving,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_external_tp_table,eligible_for_standard_condensation_table,eligible_for_decision,diagnostic_only,uses_test_labels_for_selection,no_test_metric_used_for_selection,no_test_leakage,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,best available external TP baseline,1,3,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,68aba1d3fd3d22f603b043ea0a6800ab2fbefa994d73462b21ee3e99b81dca3c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,best available external TP baseline,1,4,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,68aba1d3fd3d22f603b043ea0a6800ab2fbefa994d73462b21ee3e99b81dca3c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
DBLP,best available external TP baseline,1,5,False,False,False,False,False,cross_dataset_task_not_executed,No local official SeHGNN task metric exists for this required Gate21.14 cross-dataset method/seed.,NaN,NaN,NaN,NaN,NaN,NaN,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,68aba1d3fd3d22f603b043ea0a6800ab2fbefa994d73462b21ee3e99b81dca3c,,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,False,True,False,True,True,,,,,,,,
ACM,full-native,1,1,True,True,True,True,True,,,0.9395659999999999,0.9402370000000001,0.966851,0.967076,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,69dabdb7443c8594def23f0e1c3070b478b959af66bb095f3215f8cb0fdf453e,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,full-native,1,2,True,True,True,True,True,,,0.9343720000000001,0.935305,0.961326,0.9610980000000001,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,69dabdb7443c8594def23f0e1c3070b478b959af66bb095f3215f8cb0fdf453e,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,full-native,1,3,True,True,True,True,True,,,0.9372050000000001,0.938053,0.939227,0.9379550000000001,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,69dabdb7443c8594def23f0e1c3070b478b959af66bb095f3215f8cb0fdf453e,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,full-native,1,4,True,True,True,True,True,,,0.9357880000000001,0.9364969999999999,0.955801,0.952453,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,69dabdb7443c8594def23f0e1c3070b478b959af66bb095f3215f8cb0fdf453e,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,full-native,1,5,True,True,True,True,True,,,0.945231,0.945808,0.9502760000000001,0.949863,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,69dabdb7443c8594def23f0e1c3070b478b959af66bb095f3215f8cb0fdf453e,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,export-full,1,1,True,True,True,True,True,,,0.9395659999999999,0.9402370000000001,0.966851,0.967076,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,b106e17cac5ddbd56fc91a105842e528757a4b8ba4b800eea51f7d696d820439,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
ACM,export-full,1,2,True,True,True,True,True,,,0.9343720000000001,0.935305,0.961326,0.9610980000000001,1.0,1.0,"target-support,support-target-feedback,support-context,class-proxy,feature-redundant-attribute,cost-normalized-validation-utility",False,b106e17cac5ddbd56fc91a105842e528757a4b8ba4b800eea51f7d696d820439,gate21_0_real_official_training,cross_dataset,official_unmodified_schema_preserving,True,True,False,False,False,False,False,False,False,True,False,False,True,True,,,,,,,,
